association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,jaden,0,-0.011717856,-0.0039931834,-0.0222113,0.07641658538995949
feminine,jaden,2,-0.0116452575,-0.032397866,-0.019727683,0.04882361391210028
feminine,jaden,2-3,0.0012649596,-0.008589119,-0.0069036,0.0416070511940243
feminine,jaden,2-5,0.02048108,0.00871411,-0.002694286,0.0568213825990491
feminine,jaike,0,0.02594471,0.023389518,0.02499011,0.11686022278113113
feminine,jaike,2,0.004155755,-0.016901791,-0.00022693539,0.045762306597097006
feminine,jaike,2-3,-0.021539807,-0.016453058,0.002584448,0.06243469879999717
feminine,jaike,2-5,0.06441346,0.020351022,0.039112333,0.08852519263083887
feminine,janna,0,0.018643394,0.033266127,0.041827336,0.17514680703407007
feminine,janna,2,-0.0045856833,0.03898692,0.02503468,0.11431228121887262
