association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,mucheera,2,0.0016819537,0.01988843,-0.0012451423,0.04464157392156207
feminine,mucheera,2-3,-0.0055993497,0.023100793,0.011445839,0.044907277264721435
feminine,mucheera,2-5,-0.0011275411,0.04947436,0.0016681254,0.08091021208953883
feminine,hetwortenhuur,0,0.0,0.0,0.0,0.0
feminine,hetwortenhuur,2,-0.03370723,0.024484217,0.0019533997,0.07013959951494521
feminine,hetwortenhuur,2-3,0.0034217238,0.030447096,-0.0019220382,0.03154219244069585
feminine,hetwortenhuur,2-5,-0.058229804,-0.005261585,-0.025029836,0.05731397794005572
feminine,marboumbh,0,0.0,0.0,0.0,0.0
feminine,marboumbh,2,-0.02272278,-0.021547556,-0.0032104389,0.06243510528001602
feminine,marboumbh,2-3,0.0009771883,0.007640898,0.009896153,0.056454119193289076
feminine,marboumbh,2-5,0.032533824,0.007301748,0.005215612,0.04916417591194639
feminine,dareij,0,0.0,0.0,0.0,0.0
feminine,dareij,2,0.0126800835,0.019811392,0.024277024,0.087621706592212
feminine,dareij,2-3,0.011574179,0.004199803,0.0024742347,0.07086278239535582
feminine,dareij,2-5,0.02737075,0.028926313,0.008059731,0.041403770260062346
feminine,reatonk,0,0.0,0.0,0.0,0.0
feminine,reatonk,2,-0.0065132976,0.0039205253,-0.0035384942,0.06750874913544488
feminine,reatonk,2-3,-0.044724584,-0.015467912,-0.029471306,0.04541664179766992
feminine,reatonk,2-5,-0.02305308,-0.0030368567,-0.027693039,0.04745206426160939
feminine,ozent,0,0.0,0.0,0.0,0.0
feminine,ozent,2,-0.02778697,-0.032274097,-0.023509184,0.0502825906841819
feminine,ozent,2-3,0.004653752,0.005188644,0.012449595,0.04642712690227103
feminine,ozent,2-5,-0.0016557574,-0.016031325,-0.0046168705,0.05936488117088472
feminine,foommerg,0,0.0,0.0,0.0,0.0
feminine,foommerg,2,-0.059504777,0.006042868,-0.020301646,0.06792365584266752
feminine,foommerg,2-3,-0.028362632,0.019763231,-0.017583527,0.06520542098979723
feminine,foommerg,2-5,-0.052633494,0.00083351135,-0.025417587,0.06835353690149604
feminine,haroma,0,0.0,0.0,0.0,0.0
feminine,haroma,2,0.010828346,0.05406356,0.020073796,0.05434949121357161
feminine,haroma,2-3,-0.0036743283,0.013724983,0.024501463,0.0376236519180939
feminine,haroma,2-5,-0.032862335,0.0048217773,-0.011354877,0.07366840959167541
feminine,eserfysen,0,0.0,0.0,0.0,0.0
feminine,eserfysen,2,-0.041623443,0.017041266,-0.012302826,0.09655924239882706
feminine,eserfysen,2-3,-0.015482217,0.034133583,0.004620718,0.06577043270524861
feminine,eserfysen,2-5,-0.023501068,0.010365337,-0.020768175,0.04703474145108718
feminine,urlwytecoffen,0,0.0,0.0,0.0,0.0
feminine,urlwytecoffen,2,0.015103966,0.026809424,0.010595279,0.0825331242217449
feminine,urlwytecoffen,2-3,-0.030286998,-0.01614967,-0.018788485,0.054845067786825526
feminine,urlwytecoffen,2-5,-0.0030190647,0.0060988665,0.0024655028,0.042077938949699176
feminine,crubi,0,0.0,0.0,0.0,0.0
feminine,crubi,2,-0.0012311637,-0.029562712,-0.0022736345,0.04543614669188737
feminine,crubi,2-3,0.033338696,0.029183775,0.010580271,0.038148477143183666
feminine,crubi,2-5,-0.032874703,0.03164351,0.0040750406,0.04174397543523452
feminine,livestoffix,0,0.0,0.0,0.0,0.0
feminine,livestoffix,2,0.013547778,0.030555546,-0.018150676,0.09166604214784263
feminine,livestoffix,2-3,0.01982288,0.033480644,0.013699051,0.04050339284060642
feminine,livestoffix,2-5,0.039236918,0.017398685,0.0015389022,0.028894473226975553
feminine,imjndankamp,0,0.0,0.0,0.0,0.0
feminine,imjndankamp,2,-0.02371484,-0.0074090064,-0.011900311,0.06786960147342336
feminine,imjndankamp,2-3,-0.010161072,0.031653106,0.012131709,0.06732009650420756
feminine,imjndankamp,2-5,0.005133331,-0.0167965,-0.017309064,0.09661774625853368
feminine,swenhuipert,0,0.0,0.0,0.0,0.0
feminine,swenhuipert,2,0.00830856,0.013964504,0.0037396033,0.056038801836524106
feminine,swenhuipert,2-3,-0.006247252,0.015308768,-0.00933158,0.03520091517645381
feminine,swenhuipert,2-5,0.013532996,-0.0061500072,-0.020450022,0.07264227591743445
feminine,jurjaillaate,0,0.0,0.0,0.0,0.0
feminine,jurjaillaate,2,0.0453012,0.036347747,0.027219737,0.06039153059518523
feminine,jurjaillaate,2-3,0.028357863,0.031460166,0.026166728,0.0762069144719552
feminine,jurjaillaate,2-5,0.00026386976,-0.027868956,-0.022203123,0.04464842663662195
feminine,thewinquijs,0,0.0,0.0,0.0,0.0
feminine,thewinquijs,2,0.022777468,0.023587614,-0.01182123,0.06377515256912812
feminine,thewinquijs,2-3,0.011452228,0.026727676,-0.007066636,0.04452571384834526
feminine,thewinquijs,2-5,0.0024304688,0.0051520467,-0.016373811,0.03576168150147228
feminine,rudel,0,0.024926424,-0.028245062,-0.014279074,0.053164038619597356
feminine,rudel,2,-0.036131144,-0.011626989,-0.04328624,0.049187905906561996
feminine,rudel,2-3,-0.045557737,-0.0035785139,-0.024807198,0.06415457287536615
feminine,rudel,2-5,-0.022504166,-0.011053264,-0.022958217,0.05488897361994134
feminine,stathul,0,0.0,0.0,0.0,0.0
feminine,stathul,2,-0.037119597,0.016625464,0.0041521336,0.05496562542270398
feminine,stathul,2-3,-0.01577133,-0.0027684867,-0.012832745,0.03914149165383742
feminine,stathul,2-5,-0.020341724,-0.008781821,-0.019055566,0.06333522466896231
feminine,blagtertijzen,0,0.0,0.0,0.0,0.0
feminine,blagtertijzen,2,-0.0054249763,0.024147868,-0.02380501,0.10053936796907467
feminine,blagtertijzen,2-3,-0.037679464,-0.014874756,-0.0411598,0.056963834942766724
feminine,blagtertijzen,2-5,-0.011512727,-0.024009228,-0.046441544,0.048967401234590514
feminine,jagnifirce,0,0.0,0.0,0.0,0.0
feminine,jagnifirce,2,-0.036987424,-0.014698505,-0.016815,0.08096245320734584
feminine,jagnifirce,2-3,-0.05100459,-0.030783206,-0.02377687,0.04073948803907556
feminine,jagnifirce,2-5,-0.03410837,-0.011138529,-0.005469622,0.04174673346076357
feminine,amsaddi,0,0.0,0.0,0.0,0.0
feminine,amsaddi,2,-0.045297474,-0.017874837,-0.011766448,0.03574903401740348
feminine,amsaddi,2-3,-0.0051057935,-0.012173951,-0.010113456,0.05817991184239005
feminine,amsaddi,2-5,0.028711736,-0.04611209,-0.021860695,0.038270074200767265
feminine,balinx,0,0.0,0.0,0.0,0.0
feminine,balinx,2,-0.0030368567,0.010310978,-0.012765929,0.05676552345039468
feminine,balinx,2-3,-0.027587414,-0.009398013,-0.015694622,0.04603059744081005
feminine,balinx,2-5,0.022559822,0.0053388476,-0.0055719847,0.04651780429081494
